iter	MultiClass
0	1.017313455
1	0.9523207081
2	0.8998441447
3	0.8577156719
4	0.8219702694
5	0.7913421653
6	0.7655241422
7	0.7429652901
8	0.7238461422
9	0.7071491201
10	0.6926732223
11	0.6796051048
12	0.6687787351
13	0.6585972869
14	0.650327912
15	0.6428197872
16	0.6354464579
17	0.6288991663
18	0.6234577188
19	0.6180090092
20	0.6134980957
21	0.6094223346
22	0.6054825663
23	0.6022727136
24	0.599121824
25	0.5967040433
26	0.5938816899
27	0.5916015802
28	0.5893541729
29	0.5867394487
30	0.5847615471
31	0.5827273411
32	0.5808718032
33	0.579412835
34	0.5777109479
35	0.5762974234
36	0.5750495978
37	0.5739250579
38	0.572705212
39	0.5717125513
40	0.5707194142
41	0.5695049939
42	0.568454567
43	0.5675738963
44	0.5670442233
45	0.5662390968
46	0.5655046546
47	0.5648922592
48	0.564104023
49	0.5632561199
50	0.5626721006
51	0.5622030322
52	0.5614348418
53	0.5608455438
54	0.5603275188
55	0.5597032129
56	0.5592055145
57	0.5588545302
58	0.5581903651
59	0.5577881253
60	0.5572756521
61	0.5570176949
62	0.5564395706
63	0.5561466048
64	0.5557413807
65	0.5553583411
66	0.5549948509
67	0.5544399792
68	0.5540741941
69	0.553718714
70	0.5533231974
71	0.5531285856
72	0.552760264
73	0.552499923
74	0.552094652
75	0.5517710105
76	0.5515027496
77	0.5512839456
78	0.5510217932
79	0.5506377176
80	0.550306471
81	0.5500772885
82	0.5498012452
83	0.5494401237
84	0.5490890027
85	0.5488914371
86	0.5487483895
87	0.5485377914
88	0.5480975557
89	0.5477790949
90	0.547513562
91	0.5473500596
92	0.547144064
93	0.5468837312
94	0.5467745933
95	0.546576677
96	0.546383625
97	0.5460979723
98	0.5458205191
99	0.5455378376
100	0.5453037951
101	0.5451200693
102	0.54484711
103	0.54459461
104	0.54430795
105	0.5441435747
106	0.5439955357
107	0.543843939
108	0.5435874725
109	0.5434109098
110	0.5432218517
111	0.5430267099
112	0.5427302896
113	0.5426365849
114	0.5424790013
115	0.542299638
116	0.542106498
117	0.5419374994
118	0.541739201
119	0.5415868341
120	0.5414573547
121	0.5411673719
122	0.5408218236
123	0.5406647129
124	0.5404306165
125	0.5402140395
126	0.5399064855
127	0.5396736453
128	0.539496084
129	0.5393628963
130	0.5391481097
131	0.5388309188
132	0.5384516992
133	0.538199641
134	0.5380024291
135	0.5377312547
136	0.5374790582
137	0.5372398626
138	0.5370196582
139	0.5367902918
140	0.536541225
141	0.5363490958
142	0.5361949702
143	0.5360580384
144	0.5357835555
145	0.5354039159
146	0.5351930227
147	0.5349593228
148	0.5347048686
149	0.5345964171
150	0.5343733646
151	0.5341917553
152	0.5340185669
153	0.5338244762
154	0.5336306781
155	0.5333875873
156	0.533231597
157	0.5330640634
158	0.5329026912
159	0.5328176382
160	0.5325985237
161	0.5324238397
162	0.5321823211
163	0.5320037841
164	0.5318201584
165	0.53165854
166	0.5314654922
167	0.531293288
168	0.5311206817
169	0.5309937638
170	0.5307067685
171	0.5305739204
172	0.5304703555
173	0.5303091358
174	0.5300717184
175	0.5299323224
176	0.5297163617
177	0.5296074792
178	0.5294199636
179	0.5292812998
180	0.5291602254
181	0.5289656335
182	0.5287643117
183	0.5286607991
184	0.5283051756
185	0.5281390175
186	0.5280156987
187	0.5278597067
188	0.5276608978
189	0.5274799946
190	0.527070099
191	0.5269609655
192	0.5268753771
193	0.5268003425
194	0.5266308966
195	0.5264077352
196	0.5262681848
197	0.5261493239
198	0.525932301
199	0.5257932849
200	0.5256337906
201	0.5254734561
202	0.5253205166
203	0.5252582603
204	0.5249138559
205	0.5247492896
206	0.5246095994
207	0.5243979718
208	0.5243046593
209	0.5240460833
210	0.523908219
211	0.5237697287
212	0.5236145476
213	0.5235277965
214	0.5232994545
215	0.5231821313
216	0.5231179475
217	0.5227867248
218	0.5225937106
219	0.522511699
220	0.5224420476
221	0.5222614862
222	0.5221031685
223	0.5220073128
224	0.5218344481
225	0.5217691692
226	0.5215714858
227	0.5213915919
228	0.5212596434
229	0.5211976837
230	0.5210658949
231	0.5208713342
232	0.5207445422
233	0.5205894956
234	0.5203760349
235	0.5202742062
236	0.5201186607
237	0.5199732995
238	0.5198202927
239	0.5196553999
240	0.5194512979
241	0.5193607105
242	0.5192396741
243	0.5191836262
244	0.5190621645
245	0.5189286163
246	0.518794043
247	0.5186776842
248	0.5185927864
249	0.5184880758
250	0.5184037546
251	0.5182687396
252	0.5181240454
253	0.5180413836
254	0.5179008406
255	0.5178069576
256	0.5176585503
257	0.5175353025
258	0.5174046517
259	0.5173724376
260	0.5173141561
261	0.5172104521
262	0.517133874
263	0.5169288829
264	0.5168311718
265	0.5166992466
266	0.5165772247
267	0.5163711476
268	0.5162289499
269	0.5161670608
270	0.5160964463
271	0.516008853
272	0.5159126689
273	0.5158270796
274	0.5156528664
275	0.5155722607
276	0.5154663118
277	0.5153179843
278	0.5151654447
279	0.515003734
280	0.514910693
281	0.5148508056
282	0.5146950312
283	0.5146733485
284	0.5146209028
285	0.5144868909
286	0.5144344403
287	0.514237734
288	0.5141547807
289	0.5140224398
290	0.5139075093
291	0.5138553528
292	0.5136908177
293	0.5135894229
294	0.513433613
295	0.5133230875
296	0.5132840139
297	0.5131387329
298	0.5130818491
299	0.5129819822
300	0.5127899076
301	0.512747654
302	0.5126119058
303	0.5125154469
304	0.5123825285
305	0.5122515214
306	0.5121276651
307	0.512026056
308	0.5118957919
309	0.51183262
310	0.511719867
311	0.5116427088
312	0.51159851
313	0.5114882783
314	0.5114138052
315	0.5113668694
316	0.5113099378
317	0.5112271017
318	0.5111123678
319	0.5110133787
320	0.5108462453
321	0.5107145148
322	0.510561193
323	0.5104409529
324	0.5103559156
325	0.5102601885
326	0.5101584213
327	0.510069511
328	0.5099479193
329	0.5098726441
330	0.5098532253
331	0.5097039168
332	0.5096113737
333	0.5094718273
334	0.5094031552
335	0.5092926764
336	0.5091892721
337	0.509065074
338	0.5090118734
339	0.5088736676
340	0.5087143339
341	0.5086007244
342	0.5085110258
343	0.5084551113
344	0.5083875695
345	0.5082998863
346	0.508179707
347	0.5080013022
348	0.5079300158
349	0.5077265796
350	0.5076156061
351	0.5075712282
352	0.5074144741
353	0.5073436237
354	0.5072929465
355	0.5072075861
356	0.5071071214
357	0.5070440598
358	0.5069657901
359	0.5068630082
360	0.5067606582
361	0.5066345294
362	0.5064132971
363	0.5063013591
364	0.5062636305
365	0.5061825955
366	0.5060770504
367	0.5059795038
368	0.5058736328
369	0.5058054212
370	0.5057051933
371	0.5056406339
372	0.5055525888
373	0.5054711098
374	0.5053928372
375	0.505280656
376	0.5051802164
377	0.5050828893
378	0.5049815029
379	0.5049448136
380	0.5048558927
381	0.5047591146
382	0.5046334428
383	0.5045904065
384	0.5045655106
385	0.5043636417
386	0.5043030592
387	0.5042169638
388	0.5040894184
389	0.5039685716
390	0.5038587324
391	0.5037696255
392	0.503652037
393	0.5035827501
394	0.5035326003
395	0.5034811731
396	0.5034371771
397	0.5033671858
398	0.5033223306
399	0.503262393
400	0.5031264717
401	0.5030776013
402	0.5030267298
403	0.502936846
404	0.5028676956
405	0.5027514902
406	0.5025920394
407	0.5024907803
408	0.502353657
409	0.5022914808
410	0.5021589358
411	0.5020056986
412	0.5019269916
413	0.5019013149
414	0.5017867338
415	0.5017023359
416	0.5015893542
417	0.5015522465
418	0.5014942181
419	0.5013706217
420	0.5012964503
421	0.5012195608
422	0.5011504384
423	0.5010354127
424	0.5009621047
425	0.5008722202
426	0.5008165139
427	0.5006965468
428	0.500616345
429	0.5005349954
430	0.500491402
431	0.5004424414
432	0.5003896174
433	0.500345771
434	0.5002644259
435	0.500256283
436	0.500193373
437	0.5001330383
438	0.5000749418
439	0.4999636101
440	0.4998620229
441	0.4998040751
442	0.4996892676
443	0.4996571683
444	0.4995614678
445	0.4994435608
446	0.4993168145
447	0.4992568936
448	0.4991505424
449	0.4990966002
450	0.4990450102
451	0.4989953778
452	0.4989300013
453	0.4988238452
454	0.4987526741
455	0.4986714911
456	0.4985853199
457	0.498508709
458	0.498432687
459	0.49828762
460	0.498271702
461	0.4982022903
462	0.4981524214
463	0.4980303104
464	0.4978547344
465	0.4978006423
466	0.4977076229
467	0.4976241608
468	0.4975299082
469	0.4974971722
470	0.4973991937
471	0.4973343372
472	0.4972498068
473	0.4971864607
474	0.4970841434
475	0.4970405087
476	0.4969375598
477	0.4969172553
478	0.496881541
479	0.4968443141
480	0.4967822968
481	0.4967150822
482	0.4966867725
483	0.4966160385
484	0.4965693612
485	0.4964947365
486	0.4964483215
487	0.496374224
488	0.4963366376
489	0.4963209942
490	0.4962713397
491	0.4962139825
492	0.4961311084
493	0.496054746
494	0.4959249066
495	0.4958304139
496	0.4957214876
497	0.4956894699
498	0.4956354835
499	0.495546777
500	0.4954838321
501	0.4954096224
502	0.4953328095
503	0.495242344
504	0.4951589385
505	0.4951362474
506	0.4950443225
507	0.4949349073
508	0.4948339536
509	0.494778298
510	0.4946936612
511	0.4946435
512	0.4945764299
513	0.4945111373
514	0.4944056559
515	0.4943527525
516	0.4942358666
517	0.494168883
518	0.4940913944
519	0.4940646584
520	0.4940046274
521	0.4939129042
522	0.4938493451
523	0.4937311664
524	0.4936640647
525	0.4935971412
526	0.4934958407
527	0.4933842626
528	0.4932702573
529	0.4931769575
530	0.4931495846
531	0.4930582351
532	0.4929999079
533	0.4928989766
534	0.4927836252
535	0.4926791387
536	0.4926456216
537	0.4925075101
538	0.4923723719
539	0.4923249426
540	0.4922609616
541	0.4922036753
542	0.4921617761
543	0.4921100161
544	0.4920430599
545	0.4919928742
546	0.4918902591
547	0.4918712996
548	0.4917439828
549	0.4916758948
550	0.4916503107
551	0.4915803401
552	0.4915261307
553	0.4914239493
554	0.4913088004
555	0.4911843965
556	0.4911400527
557	0.491089808
558	0.4910297884
559	0.4909738851
560	0.4908473648
561	0.4907440154
562	0.4907059499
563	0.4906783209
564	0.4905670427
565	0.4905138449
566	0.4904606371
567	0.4903928335
568	0.4903418462
569	0.4902916598
570	0.490199319
571	0.4901350352
572	0.4900782585
573	0.4899871869
574	0.4899329113
575	0.489889998
576	0.4898375548
577	0.489793831
578	0.4897641854
579	0.4896176112
580	0.4895604458
581	0.4895172421
582	0.4894534121
583	0.4894340628
584	0.4893601505
585	0.4892823686
586	0.489211215
587	0.4891887557
588	0.4891185365
589	0.4890468002
590	0.4889422603
591	0.488903083
592	0.4887930136
593	0.4887039005
594	0.4886276802
595	0.4886075292
596	0.4885373494
597	0.488471624
598	0.488425382
599	0.4883882316
600	0.4883428129
601	0.4882376206
602	0.4882139775
603	0.488173543
604	0.4880771891
605	0.4879862357
606	0.4878502756
607	0.487779496
608	0.4877291436
609	0.487606247
610	0.4875878848
611	0.4875193091
612	0.487485878
613	0.4874293779
614	0.4874103666
615	0.4873828669
616	0.4873172799
617	0.4872550566
618	0.4872194498
619	0.4871311054
620	0.4869698684
621	0.4868506681
622	0.4868121426
623	0.4867798092
624	0.4867460495
625	0.4866246129
626	0.4865824678
627	0.4865069474
628	0.4864373882
629	0.4863867448
630	0.4863495284
631	0.4862941121
632	0.4861867948
633	0.4861475214
634	0.4860545254
635	0.4860354538
636	0.4859922981
637	0.4859169813
638	0.4858877908
639	0.4858246194
640	0.4857039874
641	0.4856516697
642	0.4855932772
643	0.4855001552
644	0.4854477474
645	0.4853831303
646	0.4853228613
647	0.4852822866
648	0.4852083759
649	0.4851159551
650	0.4850620544
651	0.4849671147
652	0.4849225349
653	0.484861621
654	0.4848279552
