iter	MultiClass
0	1.061759956
1	1.029269995
2	1.000200487
3	0.973989503
4	0.9501492882
5	0.9282092353
6	0.9080886593
7	0.8899715701
8	0.8733776742
9	0.8583010706
10	0.8441944952
11	0.8311181442
12	0.8190837966
13	0.8079526855
14	0.7975755154
15	0.7877285901
16	0.7786608965
17	0.7702457069
18	0.762465075
19	0.7550415275
20	0.7481246418
21	0.7418453153
22	0.7357239288
23	0.73003513
24	0.7244144675
25	0.7192847891
26	0.7147015362
27	0.710325574
28	0.7062029686
29	0.7022824549
30	0.6971486981
31	0.6922082122
32	0.6880019416
33	0.6836964819
34	0.679631929
35	0.6760089396
36	0.6724046097
37	0.6690765127
38	0.6659943877
39	0.6629981951
40	0.6601736962
41	0.6576894927
42	0.6552134088
43	0.6528809244
44	0.6505945399
45	0.6486022866
46	0.6468349848
47	0.6450966677
48	0.6432340514
49	0.6415728097
50	0.639903052
51	0.6384506046
52	0.6369593887
53	0.6357912486
54	0.6344492424
55	0.6331061897
56	0.6320115573
57	0.6308109794
58	0.6298076295
59	0.628837735
60	0.6279175813
61	0.6270012522
62	0.6259812573
63	0.6252286187
64	0.624224643
65	0.6231814032
66	0.6220754425
67	0.6212592056
68	0.6203810525
69	0.619565527
70	0.6187612504
71	0.6179476869
72	0.6172248449
73	0.6165987214
74	0.6158835709
75	0.6153726427
76	0.6147279489
77	0.6141230319
78	0.6134561467
79	0.6128973242
80	0.612366004
81	0.6117998302
82	0.6112395224
83	0.6107127244
84	0.6101909324
85	0.6097140024
86	0.6092751761
87	0.6088615668
88	0.6084378114
89	0.6080438382
90	0.607720238
91	0.6073208728
92	0.6069415663
93	0.6065793191
94	0.6062085155
95	0.6058336959
96	0.605491838
97	0.6052650897
98	0.6048618785
99	0.60453982
100	0.6042153323
101	0.6039747888
102	0.6035822698
103	0.6033932509
104	0.6031551669
105	0.6029466961
106	0.6026319902
107	0.602360815
108	0.6020877493
109	0.601903447
110	0.6017315317
111	0.6015370251
112	0.6012777752
113	0.6010690064
114	0.6008411976
115	0.6006349621
116	0.6004422673
117	0.6002051231
118	0.6000045841
119	0.5997725094
120	0.5996026881
121	0.5993621759
122	0.5991541752
123	0.5989712089
124	0.5987416057
125	0.5985310834
126	0.5983691062
127	0.5980819941
128	0.5978634831
129	0.5977344599
130	0.5975412887
131	0.5974413088
132	0.5972803738
133	0.5970972311
134	0.5969574979
135	0.5968708572
136	0.59673731
137	0.5965620849
138	0.5963457814
139	0.5961515512
140	0.5960435362
141	0.5959169977
142	0.5958266355
143	0.5956927089
144	0.5955455683
145	0.5953711122
146	0.5952522616
147	0.5951168659
148	0.5949884878
149	0.59485083
150	0.5946540064
151	0.5945173882
152	0.5944108347
153	0.5942853
154	0.5941379911
155	0.594022025
156	0.5939044078
157	0.5937899298
158	0.5936820793
159	0.5935426396
160	0.5933322462
161	0.5932308035
162	0.5931062076
163	0.5930146892
164	0.5928506403
165	0.592726674
166	0.5926278188
167	0.5924733636
168	0.5923409454
169	0.5921879393
170	0.5920494057
171	0.5919611321
172	0.5918520438
173	0.5918380394
174	0.591697074
175	0.5915579434
176	0.5914740921
177	0.5913604229
178	0.591302383
179	0.5912442357
180	0.5911018732
181	0.5909556116
182	0.5908637198
183	0.5907807498
184	0.5907087362
185	0.5905867307
186	0.5904881727
187	0.5903870043
188	0.5903077574
189	0.5902136588
190	0.5901112059
191	0.5899884285
192	0.5898020075
193	0.5896923524
194	0.589600369
195	0.5895050335
196	0.5894027081
197	0.5893095108
198	0.589199966
199	0.5890964875
