iter	Passed	Remaining
0	535	106498
1	924	91559
2	1297	85196
3	1795	87961
4	2141	83532
5	2533	81926
6	2901	80010
7	3251	78027
8	3592	76238
9	4013	76263
10	4380	75260
11	4722	73984
12	5130	73806
13	5500	73071
14	5882	72545
15	6249	71872
16	6617	71240
17	7014	70925
18	7465	71116
19	7868	70818
20	8304	70784
21	8828	71429
22	9199	70793
23	9552	70053
24	9934	69539
25	10316	69039
26	10786	69115
27	11159	68550
28	11536	68024
29	11876	67301
30	12311	67115
31	12602	66164
32	13000	65791
33	13329	65079
34	13706	64614
35	14006	63806
36	14336	63159
37	14671	62545
38	14972	61810
39	15337	61349
40	15642	60663
41	15955	60021
42	16231	59262
43	16541	58647
44	16908	58240
45	17291	57890
46	17602	57303
47	17948	56838
48	18277	56324
49	18656	55968
50	19030	55597
51	19408	55239
52	19709	54666
53	20121	54402
54	20474	53977
55	21031	54082
56	21373	53621
57	21804	53383
58	22141	52913
59	22591	52714
60	23071	52573
61	23424	52138
62	23820	51799
63	24296	51630
64	24695	51290
65	25141	51044
66	25542	50702
67	25946	50366
68	26384	50092
69	26751	49681
70	27116	49267
71	27541	48962
72	27966	48653
73	28338	48251
74	28813	48021
75	29297	47800
76	29704	47450
77	30059	47016
78	30519	46744
79	30925	46388
80	31315	46007
81	31761	45706
82	32206	45398
83	32648	45086
84	33005	44654
85	33440	44327
86	33850	43966
87	34337	43701
88	34775	43372
89	35226	43054
90	35681	42739
91	36133	42417
92	36586	42093
93	36974	41695
94	37427	41366
95	37879	41035
96	38385	40760
97	38794	40377
98	39260	40053
99	39732	39732
100	40128	39333
101	40535	38945
102	40975	38589
103	41406	38221
104	41879	37891
105	42396	37596
106	42900	37287
107	43274	36863
108	43734	36512
109	44189	36155
110	44601	35761
111	45061	35405
112	45481	35016
113	45882	34612
114	46306	34226
115	46744	33849
116	47178	33468
117	47673	33128
118	48109	32746
119	48546	32364
120	49091	32051
121	49566	31690
122	50073	31346
123	50496	30949
124	50945	30567
125	51516	30255
126	52156	29979
127	52759	29677
128	53480	29434
129	54118	29140
130	54719	28821
131	55387	28533
132	55974	28197
133	56536	27846
134	57230	27555
135	57952	27271
136	58590	26943
137	59251	26620
138	59840	26260
139	60600	25971
140	61333	25664
141	62037	25339
142	62727	25003
143	63317	24623
144	64011	24280
145	64605	23895
146	65165	23495
147	65849	23136
148	66458	22747
149	67131	22377
150	67894	22032
151	68520	21638
152	69138	21238
153	69751	20834
154	70423	20445
155	71068	20044
156	71666	19628
157	72264	19209
158	72918	18803
159	73626	18406
160	74268	17990
161	74850	17557
162	75453	17127
163	76058	16695
164	76699	16269
165	77426	15858
166	78003	15413
167	78662	14983
168	79275	14541
169	79882	14096
170	80559	13662
171	81140	13208
172	81796	12765
173	82093	12266
174	82789	11827
175	83434	11377
176	84007	10916
177	84698	10468
178	85408	10019
179	86079	9564
180	86750	9106
181	87458	8649
182	88123	8186
183	88999	7739
184	89732	7275
185	90359	6801
186	91184	6339
187	91974	5870
188	92700	5395
189	93344	4912
190	94069	4432
191	94759	3948
192	95426	3461
193	96246	2976
194	96932	2485
195	97614	1992
196	98335	1497
197	99014	1000
198	99777	501
199	100475	0
